               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  91,            0.041179,            0.019677,           0.0030536,              0.5457,             0.60164,             0.56659,             0.14668,             0.05779,            0.031065,            0.013184,             0.00406,             0.00406,             0.00406
                  92,            0.041091,            0.017719,            0.001995,             0.66252,             0.61471,             0.65715,             0.16823,            0.056691,            0.031013,            0.013225,            0.003994,            0.003994,            0.003994
                  93,            0.040816,            0.018629,           0.0021008,             0.46091,             0.63971,             0.48704,             0.15704,            0.058084,            0.030706,            0.013644,            0.003928,            0.003928,            0.003928
                  94,             0.04256,            0.018398,           0.0034729,             0.62992,             0.63574,             0.59274,             0.17494,            0.055552,             0.03079,             0.01336,            0.003862,            0.003862,            0.003862
                  95,            0.041053,            0.017533,           0.0016393,             0.57379,             0.51029,             0.52294,             0.16745,            0.056887,            0.030951,            0.013875,            0.003796,            0.003796,            0.003796
                  96,             0.03964,            0.018263,            0.002661,             0.63853,             0.61471,             0.63175,             0.17626,            0.055645,            0.031426,            0.014239,             0.00373,             0.00373,             0.00373
                  97,            0.037892,            0.018824,           0.0018513,             0.48336,             0.62451,             0.49775,             0.14709,            0.056969,            0.031125,            0.013812,            0.003664,            0.003664,            0.003664
                  98,            0.043073,            0.019289,           0.0028097,             0.62068,             0.58204,             0.56693,             0.17635,             0.05498,            0.030778,            0.013421,            0.003598,            0.003598,            0.003598
                  99,            0.040806,             0.01864,           0.0024837,             0.57583,             0.55404,             0.50568,             0.15034,            0.056711,            0.031706,            0.013624,            0.003532,            0.003532,            0.003532
                 100,            0.038246,            0.018776,           0.0020756,             0.54831,             0.67794,              0.6042,             0.16297,             0.05572,            0.031822,             0.01383,            0.003466,            0.003466,            0.003466
                 101,            0.038567,             0.01718,           0.0021463,             0.44725,             0.59412,             0.44843,             0.13449,             0.05927,            0.031658,            0.014138,              0.0034,              0.0034,              0.0034
                 102,            0.041414,            0.016898,           0.0019878,             0.56099,             0.63971,              0.5827,             0.15052,            0.056279,            0.031791,            0.014308,            0.003334,            0.003334,            0.003334
                 103,            0.037784,            0.015994,           0.0019029,              0.5544,             0.61534,             0.53808,             0.13745,            0.058165,             0.03205,            0.014126,            0.003268,            0.003268,            0.003268
                 104,            0.037381,            0.017413,           0.0026994,             0.61352,             0.66831,             0.62994,             0.15854,            0.056418,            0.031974,            0.013928,            0.003202,            0.003202,            0.003202
                 105,            0.037364,            0.018827,           0.0014444,              0.5746,             0.65512,             0.57041,             0.14923,            0.057815,            0.031994,            0.013694,            0.003136,            0.003136,            0.003136
                 106,            0.038914,            0.017169,           0.0021558,             0.56248,             0.68062,             0.61197,              0.1512,            0.056319,            0.031411,            0.014074,             0.00307,             0.00307,             0.00307
                 107,            0.036868,            0.019175,           0.0023006,             0.61817,             0.66767,             0.58969,             0.15638,             0.05668,              0.0313,            0.014354,            0.003004,            0.003004,            0.003004
                 108,            0.036438,            0.017189,           0.0014196,             0.62474,             0.63568,             0.60585,              0.1743,            0.055315,            0.030797,            0.014729,            0.002938,            0.002938,            0.002938
                 109,            0.035934,            0.017381,           0.0014298,             0.62029,             0.61471,             0.57703,              0.1419,            0.058492,            0.030639,            0.015446,            0.002872,            0.002872,            0.002872
                 110,            0.038469,            0.018406,           0.0015938,             0.63422,             0.61912,             0.55202,             0.16608,            0.056331,             0.03065,             0.01561,            0.002806,            0.002806,            0.002806
                 111,            0.036001,            0.016848,           0.0018479,             0.63456,             0.66912,             0.61633,             0.15342,            0.056416,            0.030422,             0.01541,             0.00274,             0.00274,             0.00274
                 112,            0.036878,            0.018426,           0.0015748,             0.59171,             0.63971,             0.58305,             0.15458,             0.05553,            0.030386,            0.015669,            0.002674,            0.002674,            0.002674
                 113,            0.036508,            0.016399,           0.0020223,             0.63376,             0.58737,             0.53486,             0.17714,            0.055575,            0.030326,             0.01564,            0.002608,            0.002608,            0.002608
                 114,            0.038504,            0.016891,           0.0012574,             0.67427,             0.66912,             0.62559,             0.17341,            0.055869,            0.030626,            0.015295,            0.002542,            0.002542,            0.002542
                 115,            0.036072,            0.015394,           0.0016857,             0.60828,              0.6709,             0.57961,             0.15969,            0.055431,             0.03086,            0.014964,            0.002476,            0.002476,            0.002476
                 116,            0.037043,            0.016185,           0.0018511,             0.56052,             0.62353,              0.5293,             0.14576,            0.058033,            0.031072,            0.014595,             0.00241,             0.00241,             0.00241
                 117,            0.037592,            0.016801,           0.0012161,             0.57066,             0.61912,             0.48979,             0.15236,            0.055926,            0.031014,            0.014478,            0.002344,            0.002344,            0.002344
                 118,            0.036555,            0.017845,           0.0017916,             0.58425,             0.64853,             0.56106,              0.1547,            0.056043,            0.031117,            0.014549,            0.002278,            0.002278,            0.002278
                 119,            0.035801,            0.017876,            0.001923,             0.58821,             0.62848,              0.5505,             0.14906,            0.055589,             0.03102,             0.01451,            0.002212,            0.002212,            0.002212
                 120,            0.034226,            0.016378,            0.001651,             0.58199,             0.67709,             0.59051,             0.15893,            0.055941,            0.031253,            0.014194,            0.002146,            0.002146,            0.002146
                 121,             0.03357,             0.01722,           0.0015688,              0.6126,             0.69853,             0.62184,             0.14875,            0.056421,             0.03175,            0.014192,             0.00208,             0.00208,             0.00208
                 122,            0.034738,            0.018229,           0.0017265,             0.57259,             0.68601,             0.59143,              0.1607,             0.05575,            0.032244,            0.014097,            0.002014,            0.002014,            0.002014
                 123,            0.033078,            0.016619,           0.0013535,             0.63018,             0.70437,             0.64193,             0.15778,            0.056853,            0.032118,             0.01399,            0.001948,            0.001948,            0.001948
                 124,            0.033116,            0.017652,           0.0020023,             0.64254,             0.73883,             0.64662,              0.1489,            0.056677,            0.032145,            0.013938,            0.001882,            0.001882,            0.001882
                 125,            0.033459,            0.018716,           0.0016141,             0.57098,             0.75735,             0.65541,             0.16812,            0.055588,            0.031794,            0.014282,            0.001816,            0.001816,            0.001816
                 126,            0.034183,            0.015984,           0.0010579,             0.68729,             0.64268,             0.66021,             0.14834,            0.055899,            0.031503,            0.014468,             0.00175,             0.00175,             0.00175
                 127,            0.032933,            0.017657,           0.0014876,             0.67996,             0.61328,              0.6377,             0.16172,            0.055592,            0.031185,            0.014384,            0.001684,            0.001684,            0.001684
                 128,            0.031251,             0.01637,           0.0012617,              0.6467,             0.62133,             0.63397,             0.15522,            0.056162,            0.031004,            0.014448,            0.001618,            0.001618,            0.001618
                 129,            0.031849,            0.015534,           0.0014443,             0.51513,             0.65294,             0.51997,             0.15234,            0.057347,            0.031429,            0.014773,            0.001552,            0.001552,            0.001552
                 130,            0.033904,            0.015892,           0.0012201,             0.63817,             0.64412,             0.62391,             0.15012,            0.056473,            0.031301,            0.014788,            0.001486,            0.001486,            0.001486
                 131,            0.031473,            0.016431,           0.0012594,             0.62776,             0.61912,              0.6082,             0.16558,            0.056554,            0.031512,            0.014968,             0.00142,             0.00142,             0.00142
                 132,            0.032345,            0.017627,           0.0010038,             0.65209,             0.61547,             0.61898,             0.16389,            0.056098,            0.031264,            0.015031,            0.001354,            0.001354,            0.001354
                 133,            0.033559,            0.016016,           0.0013163,             0.63787,             0.58554,             0.57712,             0.17028,            0.055769,             0.03118,            0.015272,            0.001288,            0.001288,            0.001288
                 134,            0.032956,            0.017289,           0.0010014,             0.64429,             0.64412,             0.61508,             0.16126,            0.055699,            0.031089,            0.015409,            0.001222,            0.001222,            0.001222
                 135,            0.033029,            0.017032,          0.00091951,             0.60531,             0.61912,             0.58291,             0.16165,            0.055709,            0.031283,            0.015279,            0.001156,            0.001156,            0.001156
